id,title,author,genre,tags,img,description,published_year,average_rating,num_pages,price
100,The House of Morgan,Ron Chernow,non-fiction historical,finance politics Morgan-empire wealth power,http://books.google.com/books/content?id=MBqrkKYOQnQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A startling portrait of big money, big politics, and big ambitions follows the checkered fortunes of the Morgan empire from Victorian England to the shores of America, where it has continued to exert influence for 150 years. winner of the National Book Award. reprint.",2001,4.07,812,11.70
101,Demons Don't Dream,Piers Anthony,fantasy adventure,adventure Xanth computer-game magic peril,http://books.google.com/books/content?id=qLLp-VOR-1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Two young adventurers are drawn into the world of Xanth through a computer game and find themselves in a desperate race against time when treachery, danger, and deceit place Xanth itself in peril, as they learn that some things are more important than winning. Reissue.",1994,3.8,352,11.70
102,Roc and a Hard Place,Piers Anthony,fantasy adventure,Xanth trial magic birds,http://books.google.com/books/content?id=8eKZvEWEY98C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the land of Xanth, Roxanne Roc, a bird, must stand trial before Demoness Metria and Magician Humfrey",1996,3.75,344,11.70
103,Seminole Song,Vella Munn,historical romance,Seminole Everglades slavery love survival,http://books.google.com/books/content?id=ehYFHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As the U.S. Army surrounds their reservation in the Florida Everglades, a Seminole warrior chief clings to the slave girl who once saved his life after fleeing from her master, a wife-murderer who is out for blood. Reprint.",1998,3.72,320,11.70
104,A Crown of Swords,Robert Jordan,fantasy adventure,Wheel-of-Time magic weather battles,http://books.google.com/books/content?id=d0lWqpVm9YkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.",1997,4.03,880,11.70
105,Drum Calls,Jo Clayton,fantasy adventure,worlds magic danger wizards,http://books.google.com/books/content?id=tm9IGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Once every generation, the two worlds of Clandair and Iomard magically move together, allowing people with special talents to walk between the worlds, but when young Cymel sees a strange wizard hovering in the air, she realizes the danger that threatens. Reprint.",1998,3.68,341,11.70
106,Blood of the Fold,Terry Goodkind,fantasy adventure,war monsters evil magic,http://books.google.com/books/content?id=7n8ssJ0JdXYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Richard Rahl and Kahlan Amnell must protect the New World from a savage armageddon of war, monsters, and treachery as they battle ancient forces of evil from the Old World. Reprint.",1997,3.99,623,11.70
107,The Fourth Book of Lost Swords,Fred Saberhagen,fantasy adventure,swords magic mermaid betrayal,http://books.google.com/books/content?id=B_hiWr4ykIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Black Pearl, a mermaid, Cosmos, her treacherous lover, Prince Zoltan and Prince Mark, the evil macrowizard Wood, and a griffin-riding beauty all compete for possession of the sword, Farslayer",1990,3.83,252,11.70
108,Yon Ill Wind,Piers Anthony,fantasy adventure,Xanth hurricane magic storms,http://books.google.com/books/content?id=GW_lBljFBlgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a tempestuous hurricane blows in Xanth, the Demon X(A/N)th joins forces with a vixen named Chlorine and a human family to save the land frOM the storms winds of mischief and madness. Reprint.",1997,3.75,340,11.70
109,A Quantum Murder,Peter F. Hamilton,science-fiction mystery,murder investigation time-travel Psi-powers,http://books.google.com/books/content?id=qoWe3SFoeX0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Professor Edward Kitchener's savage murder thrusts Psi-boosted veteran Greg Mandel into an urgent investigation that ends in a confrontation with a past that, according to Kitchener's theories, may never actually have happened. Reprint.",1998,3.97,375,11.70
110,Shadow of the Hegemon,Orson Scott Card,science-fiction political,war politics Ender's-Game strategy power,http://books.google.com/books/content?id=t7cEmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The War is over, won by Ender Wiggin and his team of brilliant child-warriors. The enemy is destroyed, the human race is saved. Ender himself refuses to return to the planet, but his crew has gone home to their families, scattered across the globe. The battle school is no more. But with the external threat gone, the Earth has become a battlefield once more. The children of the Battle School are more than heroes; they are potential weapons that can bring power to the countries that control them. One by one, all of Ender's Dragon Army are kidnapped. Only Bean escapes; and he turns for help to Ender's brother Peter. Peter Wiggin, Ender's older brother, has already been manipulating the politics of Earth from behind the scenes. With Bean's help, he will eventually rule the world. Shadow of the Hegemon is the second novel in Orson Scott Card's Shadow Series.",2001,3.94,451,11.70
111,The Dastard,Piers Anthony,fantasy adventure fiction,magic demons destiny identity-choice coming-of-age hero-journey fate,http://books.google.com/books/content?id=exL0mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Many malevolent menaces have imperiled the magical land of Xanth in its long and storied history. But none has been as despicably dangerous as the Dastard-a craven miscreant who sold his soul to a detestable demon for the power to erase events. Now the entire future of Xanth is at the mercy of his every whim. Only a young dragon-girl named Becka has the power to stop his devious deeds! Becka is a crossbreed-the daughter of Draco Dragon and a lovely human woman who met, by chance, at a Love Spring. Now fourteen, Becka is beginning to wonder where in Xanth she belongs-on the ground with her mother's people, or flying the skies with her father's kind. So she journeys to the Good Magician Humfrey to discover her True Purpose in life. Much to her astonishment and surprise, the Magician tells her that that a great Destiny awaits her-one that will affect the future of all of Xanth.",2001,3.81,384,11.70
112,Swell Foop,Piers Anthony,fantasy adventure fiction,magic prophecy quest mythical-artifact team-journey fate destiny,http://books.google.com/books/content?id=p899yqJFhvQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the twenty-fifth novel in the popular Xanth fantasies, six courageous adventurers--Cynthia Centaur, her mate Che, Breanna of the Black Wave and her human fiancT Justin Tree, Sim the immortal bird, and Jaylin, a human girl from Hawaii--embark on a dangerous quest to find the mystical Swell Foop, the only weapon that can prevail against a powerful Demon. Reprint.",2002,3.78,384,11.70
113,Vale of the Vole,Piers Anthony,fantasy adventure fiction,magic mythical-creatures journey quest mission friendship,http://books.google.com/books/content?id=os1f2xruiK8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Young Eskan ogrenymphhumanfinds himself teamed up with a winged centaur and a burrower named Volney on a mission of mercy to save the ""Vale of the Vole"" from destruction. Reprint.",2000,3.6,304,11.70
114,Up In a Heaval,Piers Anthony,fantasy adventure fiction,magic prophecy war disaster hero-journey fate destiny,http://books.google.com/books/content?id=irEKXAf229sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When the Demon Jupiter is provoked into hurling his dreaded Red Spot at the magical land of Xanth, it falls to Umlaut, a young man with a mysterious past and unknown future, and his companions to defend the enchanted realm from certain catastrophe, in the twenty-sixth novel in the popular Xanth series. Reprint.",2003,3.82,342,11.70
